"Week of Death","New Deaths"
2020-03-22,2
2020-03-29,6
2020-04-05,3
2020-04-12,5
2020-04-19,12
2020-04-26,8
2020-05-03,14
2020-05-10,11
2020-05-17,8
2020-05-24,6
2020-05-31,9
2020-06-07,12
2020-06-14,9
2020-06-21,4
2020-06-28,9
2020-07-05,21
2020-07-12,15
2020-07-19,26
2020-07-26,10
2020-08-02,15
2020-08-09,17
2020-08-16,8
2020-08-23,5
2020-08-30,5
2020-09-06,9
2020-09-13,3
2020-09-20,10
2020-09-27,10
2020-10-04,18
2020-10-11,10
2020-10-18,10
2020-10-25,23
2020-11-01,24
2020-11-08,29
2020-11-15,33
2020-11-22,48
2020-11-29,48
2020-12-06,50
2020-12-13,48
2020-12-20,40
2020-12-27,34
2021-01-03,31
2021-01-10,25
2021-01-17,27
2021-01-24,29
2021-01-31,12
2021-02-07,11
2021-02-14,16
2021-02-21,10
2021-02-28,13
2021-03-07,9
2021-03-14,3
2021-03-21,3
2021-03-28,4
2021-04-04,4
2021-04-11,4
2021-04-18,5
2021-04-25,6
2021-05-02,2
2021-05-09,3
2021-05-16,5
2021-05-23,5
2021-05-30,4
2021-06-06,4
2021-06-13,6
2021-06-20,6
2021-06-27,4
2021-07-04,8
2021-07-11,6
2021-07-18,6
2021-07-25,12
2021-08-01,11
2021-08-08,14
2021-08-15,17
2021-08-22,21
2021-08-29,19
2021-09-05,15
2021-09-12,17
2021-09-19,26
2021-09-26,14
2021-10-03,24
2021-10-10,27
2021-10-17,8
2021-10-24,30
2021-10-31,18
2021-11-07,20
2021-11-14,31
2021-11-21,20
2021-11-28,23
2021-12-05,13
2021-12-12,19
2021-12-19,24
2021-12-26,21
2022-01-02,17
2022-01-09,31
2022-01-16,32
2022-01-23,40
2022-01-30,33
2022-02-06,23
2022-02-13,12
2022-02-20,15
2022-02-27,12
2022-03-06,12
2022-03-13,6
2022-03-27,2
2022-04-03,5
2022-04-17,3
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,3
2022-05-22,1
2022-05-29,4
2022-06-05,6
2022-06-12,2
2022-06-19,4
2022-06-26,3
2022-07-03,8
2022-07-10,11
2022-07-17,4
2022-07-24,5
2022-07-31,5
2022-08-07,7
2022-08-14,5
2022-08-21,3
2022-08-28,2
2022-09-04,5
2022-09-11,5
2022-09-18,1
2022-09-25,7
2022-10-02,5
2022-10-09,5
2022-10-16,3
2022-10-23,3
2022-10-30,6
2022-11-06,5
2022-11-13,7
2022-11-20,5
2022-11-27,5
2022-12-04,7
2022-12-11,7
2022-12-18,5
2022-12-25,6
2023-01-01,3
2023-01-08,8
2023-01-15,2
2023-01-22,1
2023-01-29,4
2023-02-05,2
2023-02-12,3
2023-02-19,5
2023-02-26,4
2023-03-05,5
2023-03-12,7
2023-03-19,3
2023-03-26,4
2023-04-02,2
2023-04-09,2
2023-04-16,1
2023-04-23,3
2023-04-30,4
2023-05-07,3
2023-05-21,1
2023-05-28,2
2023-06-04,3
2023-06-11,2
2023-06-18,1
2023-07-02,1
2023-07-09,2
2023-07-16,1
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-09-03,4
2023-09-17,2
2023-09-24,1
