"Week of Hospital Admission","Weekly Hospitalizations"
2020-03-08,2
2020-03-15,11
2020-03-22,23
2020-03-29,31
2020-04-05,34
2020-04-12,48
2020-04-19,53
2020-04-26,49
2020-05-03,44
2020-05-10,40
2020-05-17,69
2020-05-24,56
2020-05-31,62
2020-06-07,63
2020-06-14,85
2020-06-21,96
2020-06-28,98
2020-07-05,108
2020-07-12,80
2020-07-19,80
2020-07-26,83
2020-08-02,74
2020-08-09,56
2020-08-16,60
2020-08-23,51
2020-08-30,57
2020-09-06,47
2020-09-13,83
2020-09-20,100
2020-09-27,95
2020-10-04,128
2020-10-11,130
2020-10-18,153
2020-10-25,174
2020-11-01,205
2020-11-08,218
2020-11-15,245
2020-11-22,215
2020-11-29,206
2020-12-06,201
2020-12-13,185
2020-12-20,157
2020-12-27,164
2021-01-03,226
2021-01-10,197
2021-01-17,138
2021-01-24,131
2021-01-31,96
2021-02-07,99
2021-02-14,101
2021-02-21,67
2021-02-28,66
2021-03-07,70
2021-03-14,54
2021-03-21,59
2021-03-28,42
2021-04-04,51
2021-04-11,39
2021-04-18,52
2021-04-25,46
2021-05-02,54
2021-05-09,63
2021-05-16,44
2021-05-23,49
2021-05-30,42
2021-06-06,60
2021-06-13,50
2021-06-20,59
2021-06-27,53
2021-07-04,55
2021-07-11,86
2021-07-18,88
2021-07-25,99
2021-08-01,104
2021-08-08,108
2021-08-15,109
2021-08-22,119
2021-08-29,139
2021-09-05,137
2021-09-12,117
2021-09-19,114
2021-09-26,116
2021-10-03,119
2021-10-10,120
2021-10-17,123
2021-10-24,134
2021-10-31,111
2021-11-07,125
2021-11-14,106
2021-11-21,104
2021-11-28,122
2021-12-05,115
2021-12-12,105
2021-12-19,83
2021-12-26,120
2022-01-02,239
2022-01-09,293
2022-01-16,335
2022-01-23,265
2022-01-30,218
2022-02-06,163
2022-02-13,99
2022-02-20,82
2022-02-27,75
2022-03-06,47
2022-03-13,41
2022-03-20,37
2022-03-27,24
2022-04-03,24
2022-04-10,16
2022-04-17,18
2022-04-24,34
2022-05-01,31
2022-05-08,40
2022-05-15,51
2022-05-22,62
2022-05-29,63
2022-06-05,86
2022-06-12,90
2022-06-19,84
2022-06-26,108
2022-07-03,95
2022-07-10,67
2022-07-17,85
2022-07-24,86
2022-07-31,74
2022-08-07,74
2022-08-14,52
2022-08-21,48
2022-08-28,45
2022-09-04,45
2022-09-11,49
2022-09-18,44
2022-09-25,42
2022-10-02,39
2022-10-09,43
2022-10-16,27
2022-10-23,41
2022-10-30,47
2022-11-06,62
2022-11-13,73
2022-11-20,74
2022-11-27,69
2022-12-04,61
2022-12-11,62
2022-12-18,67
2022-12-25,76
2023-01-01,64
2023-01-08,51
2023-01-15,33
2023-01-22,30
2023-01-29,33
2023-02-05,44
2023-02-12,52
2023-02-19,41
2023-02-26,47
2023-03-05,41
2023-03-12,35
2023-03-19,39
2023-03-26,24
2023-04-02,37
2023-04-09,30
2023-04-16,24
2023-04-23,18
2023-04-30,22
2023-05-07,19
2023-05-14,22
2023-05-21,29
2023-05-28,22
2023-06-04,14
2023-06-11,10
2023-06-18,7
2023-06-25,13
2023-07-02,14
2023-07-09,14
2023-07-16,14
2023-07-23,12
2023-07-30,17
2023-08-06,21
2023-08-13,16
2023-08-20,22
2023-08-27,36
2023-09-03,32
2023-09-10,42
2023-09-17,32
2023-09-24,35
2023-10-01,27
