"Week of Case Identification","New Cases"
2020-03-08,6
2020-03-15,65
2020-03-22,248
2020-03-29,404
2020-04-05,402
2020-04-12,490
2020-04-19,531
2020-04-26,556
2020-05-03,579
2020-05-10,588
2020-05-17,637
2020-05-24,726
2020-05-31,935
2020-06-07,1145
2020-06-14,1586
2020-06-21,1764
2020-06-28,1917
2020-07-05,2067
2020-07-12,1860
2020-07-19,1563
2020-07-26,1330
2020-08-02,1209
2020-08-09,1143
2020-08-16,1009
2020-08-23,1112
2020-08-30,1063
2020-09-06,1071
2020-09-13,2165
2020-09-20,2603
2020-09-27,2800
2020-10-04,3496
2020-10-11,3628
2020-10-18,4365
2020-10-25,4855
2020-11-01,6752
2020-11-08,8154
2020-11-15,8659
2020-11-22,6278
2020-11-29,7510
2020-12-06,6370
2020-12-13,5521
2020-12-20,4383
2020-12-27,5924
2021-01-03,7600
2021-01-10,5279
2021-01-17,4250
2021-01-24,3442
2021-01-31,2863
2021-02-07,2387
2021-02-14,1819
2021-02-21,1591
2021-02-28,1277
2021-03-07,1227
2021-03-14,1109
2021-03-21,1081
2021-03-28,963
2021-04-04,979
2021-04-11,895
2021-04-18,996
2021-04-25,1016
2021-05-02,855
2021-05-09,709
2021-05-16,609
2021-05-23,526
2021-05-30,502
2021-06-06,570
2021-06-13,697
2021-06-20,701
2021-06-27,892
2021-07-04,1022
2021-07-11,1273
2021-07-18,1391
2021-07-25,2012
2021-08-01,1942
2021-08-08,2089
2021-08-15,2516
2021-08-22,3070
2021-08-29,3077
2021-09-05,3010
2021-09-12,2812
2021-09-19,2668
2021-09-26,2676
2021-10-03,2903
2021-10-10,2952
2021-10-17,3174
2021-10-24,3414
2021-10-31,3621
2021-11-07,3763
2021-11-14,3764
2021-11-21,2750
2021-11-28,3703
2021-12-05,2997
2021-12-12,2446
2021-12-19,3261
2021-12-26,9057
2022-01-02,23472
2022-01-09,32227
2022-01-16,24435
2022-01-23,12233
2022-01-30,6416
2022-02-06,3779
2022-02-13,2283
2022-02-20,1280
2022-02-27,868
2022-03-06,508
2022-03-13,431
2022-03-20,351
2022-03-27,339
2022-04-03,307
2022-04-10,488
2022-04-17,679
2022-04-24,1151
2022-05-01,1461
2022-05-08,2019
2022-05-15,2424
2022-05-22,2990
2022-05-29,3034
2022-06-05,3089
2022-06-12,3187
2022-06-19,3010
2022-06-26,3309
2022-07-03,2685
2022-07-10,2937
2022-07-17,2567
2022-07-24,2206
2022-07-31,1969
2022-08-07,1656
2022-08-14,1243
2022-08-21,1214
2022-08-28,1141
2022-09-04,945
2022-09-11,920
2022-09-18,734
2022-09-25,762
2022-10-02,698
2022-10-09,604
2022-10-16,757
2022-10-23,863
2022-10-30,1041
2022-11-06,1349
2022-11-13,1183
2022-11-20,1517
2022-11-27,1671
2022-12-04,1353
2022-12-11,1174
2022-12-18,1082
2022-12-25,919
2023-01-01,663
2023-01-08,790
2023-01-15,411
2023-01-22,432
2023-01-29,487
2023-02-05,597
2023-02-12,661
2023-02-19,693
2023-02-26,623
2023-03-05,600
2023-03-12,456
2023-03-19,392
2023-03-26,310
2023-04-02,338
2023-04-09,277
2023-04-16,220
2023-04-23,226
2023-04-30,197
2023-05-07,182
2023-05-14,194
2023-05-21,130
2023-05-28,142
2023-06-04,104
2023-06-11,83
2023-06-18,79
2023-06-25,101
2023-07-02,102
2023-07-09,124
2023-07-16,122
2023-07-23,147
2023-07-30,162
2023-08-06,198
2023-08-13,306
2023-08-20,332
2023-08-27,416
2023-09-03,491
2023-09-10,450
2023-09-17,453
2023-09-24,445
2023-10-01,359
